birthday,age,startDate,parttimePercentage,hometown,gender,discipline,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
20/09/1984,32,1/01/2014,100.00,Alphen aan den Rijn,Man,QA Specialist,Utrecht,Development Utrecht eFocus,Fulltimer,Dordrecht,Nederland
3/08/1983,33,1/01/2014,100.00,Leiden,Man,Servicemanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Leiden,Nederland
10/07/1982,34,1/04/2014,100.00,Vleuten,Man,Servicemanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Utrecht,Nederland
10/03/1987,29,1/05/2014,95.00,'s-Gravenhage,Man,DevOps Engineer,Utrecht,Development Utrecht eFocus,Parttimer,Zoeterwoude,Nederland
5/02/1990,27,1/06/2014,100.00,Utrecht,Man,Visual Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Tilburg,Nederland
24/07/1983,33,7/07/2014,100.00,Utrecht,Man,Senior UX Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Zwolle,Nederland
18/03/1992,24,11/08/2014,90.00,Nieuwerkerk ad IJssel,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Gouda,Nederland
24/09/1988,28,1/11/2014,100.00,Utrecht,Man,Service Coördinator,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Utrecht,Nederland
18/06/1985,31,1/12/2014,80.00,'s-Hertogenbosch,Man,UX Designer,Utrecht,Creatie Utrecht eFocus,Parttimer,'s-Hertogenbosch,Nederland
13/04/1994,22,17/11/2014,100.00,Maarssen,Vrouw,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Utrecht,Nederland
1/07/1992,24,1/08/2016,80.00,Houten,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Nieuwegein,Nederland
27/08/1984,32,16/02/2015,80.00,Utrecht,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Groningen,Nederland
5/02/1984,33,1/05/2015,90.00,Utrecht,Vrouw,Information Analyst,Utrecht,Development Utrecht eFocus,Fulltimer,Vlaardingen,Nederland
19/10/1975,41,13/07/2015,100.00,Rotterdam,Man,Senior Servicemanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Rotterdam,Nederland
21/03/1985,31,1/08/2015,90.00,Amersfoort,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Zeist,Nederland
16/12/1973,43,24/08/2015,100.00,Maarn,Man,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Den Haag,Nederland
9/12/1981,35,1/09/2015,100.00,Rotterdam,Man,Digital Consultant,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Leidschendam,Nederland
29/06/1971,45,1/01/2016,90.00,Utrecht,Man,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Utrecht,Nederland
5/05/1982,34,14/12/2015,100.00,Amsterdam,Vrouw,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Zeist,Nederland
9/09/1977,39,22/02/2016,90.00,Amsterdam,Man,Art Director,Utrecht,Creatie Utrecht eFocus,Fulltimer,Amsterdam,Nederland
27/09/1972,44,13/06/2016,75.00,Vleuten,Vrouw,Senior QA Specialist,Utrecht,Development Utrecht eFocus,Parttimer,Roosendaal,Nederland
2/08/1997,19,29/08/2016,100.00,Montfoort,Man,Stagiair developer,Utrecht,Development Utrecht eFocus,Stagiair,Woerden,Nederland
28/01/1995,22,15/08/2016,100.00,Utrecht,Man,Stagiair developer,Utrecht,Development Utrecht eFocus,Stagiair,Winschoten,Nederland
6/08/1994,22,25/06/2016,80.00,Utrecht,Man,UX Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Moordrecht,Nederland
3/08/1987,29,1/09/2016,80.00,Utrecht,Man,QA Specialist,Utrecht,Development Utrecht eFocus,Parttimer,Utrecht,Nederland
29/01/1993,24,1/10/2016,100.00,Harderwijk,Man,Content Producer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Zoetermeer,Nederland
23/04/1984,32,1/11/2016,80.00,Amersfoort,Man,Information Analyst,Utrecht,Development Utrecht eFocus,Parttimer,Kesteren,Nederland
12/03/1988,28,19/09/2016,100.00,Utrecht,Man,Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Mugla,Turkije
7/03/1984,32,1/10/2016,80.00,Utrecht,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Leusden,Nederland
21/09/1988,28,1/11/2016,80.00,Utrecht,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Utrecht,Nederland
2/09/1982,34,1/11/2016,100.00,Amsterdam,Man,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Amsterdam,Nederland
23/10/1992,24,6/02/2017,100.00,Ede Gld,Vrouw,Stagiair,Utrecht,Creatie Utrecht eFocus,Stagiair,Wageningen,Nederland
22/09/1985,31,1/02/2017,100.00,Utrecht,Man,QA Specialist,Utrecht,Development Utrecht eFocus,Fulltimer,'s-Hertogenbosch,Nederland
4/11/1967,49,1/02/2017,90.00,Utrecht,Man,Senior projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Lemmer,Nederland
31/07/1981,35,1/02/2017,100.00,Utrecht,Vrouw,UX Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Alkmaar,Nederland
19/09/1988,28,1/02/2017,100.00,Almere,Vrouw,Developer,Utrecht,Development Utrecht eFocus,Fulltimer,Amsterdam,Nederland
18/12/1990,26,1/02/2017,100.00,Houten,Man,DevOps Engineer,Utrecht,Development Utrecht eFocus,Fulltimer,Neerijnen,Nederland
11/01/1995,22,6/02/2017,100.00,Utrecht,Man,Stagiair,Utrecht,Creatie Utrecht eFocus,Stagiair,Arnhem,Nederland
2/07/1983,33,1/03/2017,100.00,Burgh Haamstede,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Ede,Nederland
